DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
100319,1,48,1,3,0,1,5,1,12,125503.96,1948.51
100320,1,33,1,5,0,1,4,2,14,100491.15,1493.84
100321,1,73,3,5,0,1,1,0,13,86580.65,2154.34
100322,1,76,3,1,0,1,3,0,4,51740.75,1927.13
100323,1,48,4,3,0,2,2,0,8,31834.31,1129.18
100324,2,70,3,3,0,1,1,0,12,93878.87,1421.56
100325,1,70,3,4,1,1,2,0,12,6835.65,433.72
100326,1,34,4,4,0,2,1,0,1,16957.86,592.2
100327,1,30,1,4,0,6,5,4,6,72936.52,1716.35
100328,2,70,1,4,0,1,3,0,13,49908.5,1632.08
100329,1,48,2,3,0,1,4,1,13,108063.04,1753.34
100330,1,66,3,2,0,1,2,0,11,115202.66,2520.91
100331,2,73,3,3,0,1,2,0,11,49684.47,1501.13
100332,1,54,1,3,1,1,2,0,11,64938.35,1974.19
100333,2,37,1,4,0,1,4,2,16,109832.46,2180.3
100334,1,55,1,2,0,1,4,0,14,117403.91,3352.66
100335,1,45,4,2,0,1,5,2,4,20713.8,776.31
100336,2,58,1,3,0,1,2,0,13,46002.54,1237.32
100337,1,27,2,3,0,1,2,0,1,11396.13,800.46
100338,1,31,4,4,0,1,7,4,3,161361.26,3445.56
100339,1,41,4,4,0,1,3,1,11,35910.71,1398.66
100340,1,90,3,2,0,1,1,0,4,18971.51,959.55
100341,1,50,1,3,0,1,3,0,15,204698.49,2178.1
100342,2,64,3,5,0,1,2,0,16,134619.17,578.93
100343,2,39,1,3,0,1,4,1,14,60281.53,1859.71
100344,2,48,1,5,0,1,3,2,13,11750.63,469.03
100345,1,27,1,5,0,4,2,0,15,16801.68,576.68
100346,2,30,1,3,0,1,2,0,14,71887.29,1899.03
100347,1,25,4,3,0,2,4,2,10,62885.46,1600.37
