DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
109227,WEST,Pacific,AK,Subarctic,138682.11,3679.82
109228,SOUTH,West South Central,LA,Hot-Humid,30359.83,912.12
109229,NORTHEAST,New England,MA,Cold,68400.72,2254.56
109230,WEST,Pacific,WA,Cold,48894.77,1336.08
109231,MIDWEST,East North Central,MI,Cold,83628.29,1198.09
109232,SOUTH,West South Central,AR,Mixed-Humid,54532.91,1157.41
109233,SOUTH,South Atlantic,SC,Mixed-Humid,38648.69,1469.3
109234,SOUTH,South Atlantic,FL,Hot-Humid,84754.42,2755.94
109235,WEST,Pacific,CA,Hot-Dry,79337.49,729.99
109236,SOUTH,East South Central,MS,Hot-Humid,40892.26,1550.66
109237,NORTHEAST,New England,MA,Cold,170640.32,6189.44
109238,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,284552.91,6190.81
109239,SOUTH,South Atlantic,VA,Mixed-Humid,77871.51,2780.55
109240,WEST,Mountain South,AZ,Hot-Dry,40432.09,1560.43
109241,WEST,Mountain North,MT,Cold,100078.88,1507.99
109242,SOUTH,South Atlantic,VA,Mixed-Humid,82102.47,1903.49
109243,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,67494.31,1349.81
109244,MIDWEST,West North Central,ND,Very-Cold,119623.23,1489.53
109245,SOUTH,South Atlantic,SC,Hot-Humid,32630.9,1167.95
109246,NORTHEAST,New England,CT,Cold,98874.71,2660.05
109247,SOUTH,South Atlantic,WV,Mixed-Humid,78474.36,2548.11
109248,SOUTH,South Atlantic,VA,Mixed-Humid,22717.5,730.29
109249,SOUTH,West South Central,LA,Hot-Humid,176597.17,6299.98
109250,WEST,Pacific,CA,Marine,54657.85,1676.75
109251,SOUTH,South Atlantic,MD,Mixed-Humid,28160.71,1011.27
109252,WEST,Mountain South,AZ,Hot-Dry,78070.04,731.49
109253,MIDWEST,East North Central,MI,Cold,58124.09,1087.54
109254,SOUTH,West South Central,TX,Hot-Humid,76821.65,2788.76
109255,WEST,Mountain North,ID,Cold,62542.93,1806.95
109256,SOUTH,South Atlantic,FL,Hot-Humid,104366.79,3580.42
109257,WEST,Mountain South,NV,Hot-Dry,47814.64,985.59
109258,WEST,Mountain North,CO,Cold,93344.15,1398.6
109259,NORTHEAST,New England,MA,Cold,51745.76,1477.15
109260,WEST,Mountain North,ID,Cold,120638.52,1627.97
109261,NORTHEAST,New England,RI,Cold,130789.02,2403.74
